Type,Category,Key,Korean,Description,Region,Image,Video,CustomPosition
Override,"17310010019","269092491264","미망선","돌아갈 곳을 잃은 채 사막을 정처없이 헤매는 나무배입니다. 갈 곳 없는 이 배는 자신의 앞길을 인도해 줄 깃발을 찾고 있습니다. 본 BOSS는 행적이 일정하지 않으며, 하서 '말 미로' 지역의 거대한 모래 폭풍 속을 떠돌고 있습니다.","옥문관","./image/{id}.png"
Override,"17310010083","984289533952","삼위곡","협객이 검을 묻고, 후세 사람들이 슬퍼하며 비석을 세워 기록하니, 이것이 경계석이다. 이곳은 삼위곡이다. 장군이 물을 가르고, 영웅이 목숨을 잃은 곳이다. 후세에 사람을 찾는 자가 이 비석을 세웠다. 그대가 용감하게 나아갈 수 있게 도움을 준다.","옥문관"
Override,"17310010083","111718465536","현천 역참","과거 서역에 전란의 불길이 하늘을 뒤덮자 현천 역참은 소식마저 완전히 두절되었다. 한무제가 서역 정벌의 채찍을 휘두른 이래로 현천 역참은 수차례 흥망을 거듭하다 끝내 전란의 화마 속에 사라지고 말았다. 그런데 한 차례 거센 모래폭풍이 휩쓸고 지나간 뒤, 이곳에 출처를 알 수 없는 작은 배들이 수없이 좌초된 채 나타났다. 모래바람 속에 기이한 그림자가 어른거리며 섬뜩한 울음소리가 끊이지 않는다. 이 때문에 어떤 이들은 이곳을 '미진 나루'라 부르기도 하나 이는 실로 뜬소문에 불과하다.","옥문관"
Override,"17310010086","620896886784","대당의 노래 1","초반 스토리 진입시 자동적으로 획득.","옥문관"
Override,"17310010025","333169102848","둥지 속 생각 · 홍옥","둥지 같은 것을 공격하거나 화살로 쏘면 얻을수 있습니다.","옥문관"
Override,"17310010001","793883832320","전서의 장궁"
Override,"17310010031","806784778240","현천 역참"
Override,"17310010025","575332544512","지리지 · 현천 역참"
Override,"17310010083","600085950464","천애객 · 옥문관","끝없는 모래 바다가 봄바람을 기다리고, 피로 물든 석양이 외로운 봉화를 지켜보네. 이곳은 철갑천군의 주홍기 아래 서린 전쟁터이자 규방의 꿈속에 스민 그리움의 눈물이라. 우뚝 서서 말 없는 성벽과 피를 토하며 맴도는 기러기들이 영원히 지지 않는 태양 아래 옛 황혼을 갈아먹는 곳이로다.","옥문관"
Override,"17310010083","542362210304","낙타 역참","낙타 역참이 세워진 지는 얼마 되지 않았다. 처음에는 그저 칸얼징을 오가는 상인들이 마을 밖 지정된 곳에 낙타를 맡겨두어 소란을 피하고자 했을 뿐이었다. 그러나 시간이 흐르며 낙타 역참은 고유한 분위기를 갖추게 되었으니, 삶과 죽음, 만남과 이별이 이 작은 곳에서 날마다 펼쳐졌다. 오래된 생명이 그 여정의 끝에 다다를 때, 새로운 생명은 이미 또 다른 시작점에 발을 내디딘다. 경계석은 수명이 없으나, 인간사의 만남과 헤어짐은 모래폭풍처럼 덧없을 뿐이다.","옥문관"
Override,"17310010083","244114309120","칸얼징","하늘을 뒤덮던 거대한 모래폭풍이 잠잠해진 뒤, 칸얼징은 가장 먼저 등불을 밝힌 곳이었다. 주변의 생존자들은 이 등불에 이끌려 서로를 부축하며 이곳으로 모여들었다. 사막의 모래 너머로 혈육을 떠나보낸 이들은 오랫동안 모래 언덕 위를 서성였다. 세월이 흐르고 일월이 수없이 교차하는 동안, 그들은 차츰 바람의 말을 알아듣게 되었다. 그날 이후, 사나운 모래바람도 칸얼징을 어찌하지 못하게 되었다. 마을의 아궁이에는 날마다 연기가 끊이지 않았으며, 길 가던 행상들이 머무르고 길 잃은 나그네가 발을 쉬어가니, 칸얼징은 모든 행객에게 돌아갈 길을 비추는 길잡이가 되어주었다.","옥문관"
